City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Tutoia,BR,-2.76,-42.27,79.57,76,35,15.82,scattered clouds
285,Yar-Sale,RU,66.83,70.83,48.34,90,97,5.01,overcast clouds
286,Wanning,CN,18.8,110.4,80.64,83,90,1.39,overcast clouds
287,Brae,GB,60.4,-1.35,50.0,87,92,9.17,overcast clouds
288,Tutayev,RU,57.89,39.54,48.2,81,1,8.95,clear sky
289,Valleyview,CA,55.07,-117.29,50.27,53,74,5.39,broken clouds
290,Verin,ES,41.94,-7.44,57.0,44,27,2.57,scattered clouds
291,Boa Vista,BR,2.82,-60.67,80.6,69,75,11.41,broken clouds
292,Ponta Do Sol,PT,32.67,-17.1,75.2,73,40,10.29,scattered clouds
293,Guerrero Negro,MX,27.98,-114.06,86.54,33,0,15.97,clear sky
294,Berlevag,NO,70.86,29.09,46.11,80,53,13.82,broken clouds
295,Dunedin,NZ,-45.87,170.5,52.7,50,51,18.81,broken clouds
296,Talara,PE,-4.58,-81.27,63.37,85,20,14.99,few clouds
297,Ronneby,SE,56.21,15.28,55.4,100,100,2.24,overcast clouds
298,Vardo,NO,70.37,31.11,39.2,93,75,3.36,broken clouds
299,Sorata,BO,-15.77,-68.63,46.8,78,93,2.84,overcast clouds
300,Najran,SA,17.49,44.13,80.6,19,0,3.49,clear sky
301,Plettenberg Bay,ZA,-34.05,23.37,52.77,77,1,5.23,clear sky
302,Goderich,CA,43.75,-81.72,69.01,59,86,1.01,overcast clouds
303,Russell,US,32.35,-85.2,77.0,73,90,12.75,light rain
304,Severobaykalsk,RU,55.65,109.32,45.84,84,75,0.63,broken clouds
305,Isangel,VU,-19.55,169.27,75.2,69,75,8.05,broken clouds
306,Panzhihua,CN,26.59,101.71,71.6,83,100,0.63,overcast clouds
307,Gotsu,JP,35.0,132.22,71.89,75,99,4.14,overcast clouds
308,Fujin,CN,47.26,132.03,56.52,92,100,6.49,overcast clouds
309,Cururupu,BR,-1.83,-44.87,75.94,85,40,4.85,scattered clouds
310,Ipora,BR,-16.44,-51.12,78.78,26,0,2.44,clear sky
311,Nguru,NG,12.88,10.45,80.69,59,1,4.59,clear sky
312,Chunskiy,RU,56.08,99.63,41.22,91,35,2.59,scattered clouds
313,Alice Springs,AU,-23.7,133.88,73.4,27,90,11.41,overcast clouds
314,San Patricio,MX,19.22,-104.7,86.0,74,75,11.41,broken clouds
315,Diamantino,BR,-14.41,-56.45,83.95,22,1,0.92,clear sky
