City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Cabedelo,BR,75.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
437,Nueva Guinea,NI,81.45,light rain,11.69,-84.46,Posadita La Reyna
445,Sri Aman,MY,75.2,overcast clouds,1.24,111.46,Seri Simanggang Hotel
446,Axim,GH,75.58,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
448,Jieshi,CN,80.19,light rain,22.81,115.83,Yuehai Hotel
449,Say,NE,89.6,scattered clouds,13.1,2.37,
451,Oriximina,BR,88.77,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
452,Mazagao,BR,89.6,few clouds,-0.12,-51.29,Casa Lima Santos
460,Cleburne,US,86.0,few clouds,32.35,-97.39,Holiday Inn Express & Suites Cleburne
463,Awjilah,LY,88.0,scattered clouds,29.11,21.29,
465,Luganville,VU,78.8,scattered clouds,-15.53,167.17,The Espiritu Hotel
471,Santarem,BR,89.6,few clouds,-2.44,-54.71,Hotel Imperador
473,Khaniotis,GR,75.99,clear sky,40.0,23.58,Haris Hotel
475,El Sauzal,MX,86.63,clear sky,31.9,-116.68,La Rosas Hotel & Spa
479,Praya,CV,79.65,scattered clouds,14.92,-23.51,LT Aparthotel
484,San Quintin,MX,84.43,clear sky,30.48,-115.95,Old Mill Hotel
485,Jiazi,CN,79.29,light rain,22.88,116.07,Hotel Jin Hao
488,Susangerd,IR,87.8,clear sky,31.56,48.18,فاطمه ابرفت
489,Lodwar,KE,85.1,scattered clouds,3.12,35.6,Turkwel Lodge
491,Aquiraz,BR,80.6,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
494,Akyab,MM,81.23,light rain,20.15,92.9,Hotel Memory
498,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
499,Athens,GR,78.8,clear sky,37.98,23.72,Novotel Athenes
502,Mae Chan,TH,77.0,few clouds,20.15,99.85,Kiang Dao Resort
503,Mana,GF,79.56,scattered clouds,5.66,-53.78,LE SAMANA
504,Luba,GQ,75.2,light rain,3.46,8.55,
505,Phayakkhaphum Phisai,TH,78.28,overcast clouds,15.52,103.19,โรงแรมบ้านนงนุชโฮเตล
506,Aquin,HT,84.13,light rain,18.28,-73.4,Asheev Beach
507,San Gabriel Casa Blanca,MX,83.57,light rain,18.15,-97.13,
509,Alexandria,EG,78.8,scattered clouds,31.22,29.96,Royal Crown Hotel
517,Abiramam,IN,83.39,overcast clouds,9.47,78.45,KVL GUEST HOUSE
519,Banda Aceh,ID,79.68,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
520,Porbandar,IN,81.54,overcast clouds,21.64,69.61,Lords Inn Porbandar
521,Corn Island,NI,84.54,moderate rain,12.17,-83.04,Big Fish Guest House
524,Ransang,PH,78.96,moderate rain,8.96,117.58,
525,Sinnamary,GF,79.34,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
530,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
533,Monte Alegre,BR,88.81,overcast clouds,-2.01,-54.07,Hotel Shekinah
536,Gizo,SB,81.86,overcast clouds,-8.1,156.84,Imagination Island
538,Salgueiro,BR,79.5,few clouds,-8.07,-39.12,Hotel Polo
539,Mumford,GH,75.58,overcast clouds,5.26,-0.76,Spanish Villa
540,Golden,US,87.8,few clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
541,Steamboat Springs,US,79.0,clear sky,40.48,-106.83,Steamboat Grand
545,Kilindoni,TZ,77.2,few clouds,-7.91,39.67,Bustani B&B
547,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
550,Ambunti,PG,76.51,overcast clouds,-4.24,142.84,Ambunti Lodge
551,Hailey,US,82.4,smoke,43.52,-114.32,Wood River Inn & Suites
552,Port Blair,IN,82.45,light rain,11.67,92.75,Fortune Resort Bay Island
554,Lakatoro,VU,78.8,scattered clouds,-16.1,167.42,Lakatoro Palm Lodge
557,Portland,US,75.99,smoke,45.52,-122.68,Portland Marriott City Center
559,Rincon,US,80.6,overcast clouds,32.3,-81.24,Bent tree subdivision
